district_name,restaruant_count
Kowloon,11720
New Territories,9876
Hong Kong Island,8276
Tsim Sha Tsui,1948
Yuen Long,1465
Tsuen Wan,1435
Central,1351
Mong Kok,1307
Tuen Mun,1274
Causeway Bay,1193
Kwun Tong,1166
Wan Chai,1151
Outlying Islands,890
Sham Shui Po,806
Sha Tin,781
Tseung Kwan O,770
Western District,765
Tai Po,683
Hung Hom,648
Jordan,571
North Point,559
Kowloon Bay,557
Kwai Chung,554
Sheung Wan,523
Tai Kok Tsui,500
To Kwa Wan,436
Cheung Sha Wan,423
Kowloon City,421
Prince Edward,414
Tin Shui Wai,382
Fanling,368
Kwai Fong,331
San Po Kong,330
Ma On Shan,328
Sai Ying Pun,324
Sai Ying Pun,324
Sai Kung,308
Sheung Shui,307
Chai Wan,302
Yau Ma Tei,302
Tai Wai,294
Lai Chi Kok,282
Quarry Bay,279
Aberdeen,256
Tsing Yi,256
Shau Kei Wan,243
Wong Tai Sin,237
Soho,225
Soho,225
Tin Hau,207
Kennedy Town,206
Tung Chung,206
Kennedy Town,206
Tai Koo,202
Cheung Chau,189
Hang Hau,183
Admiralty,183
Hang Hau,183
Sai Wan Ho,177
Ngau Tau Kok,170
Fo Tan,164
Lam Tin,163
Po Lam,159
Po Lam,159
Shek Tong Tsui,151
Shek Tong Tsui,151
Ap Lei Chau,144
Wong Chuk Hang,141
Kowloon Tong,141
Happy Valley,138
Chek Lap Kok,135
Lan Kwai Fong,131
Lan Kwai Fong,131
Yau Tong,124
Mei Foo,119
Lantau Island,118
Diamond Hill,110
Ho Man Tin,109
Shek Kip Mei,107
Tsz Wan Shan,104
Lok Fu,104
Tai Hang,103
Pok Fu Lam,88
Choi Hung,81
Lamma Island,77
Tai O,71
Mid-Levels,63
Stanley,62
Knutsford Terrace,57
Knutsford Terrace,57
Discovery Bay,49
Sham Tseng,46
Tai Wo,43
Lei Yue Mun,40
The Peak,39
Peng Chau,38
Ma Wan,37
Lau Fau shan,34
Heng Fa Chuen,33
Repulse Bay,30
Cyberport,29
Cyberport,29
Shek O,28
O’South Coast,25
O’South Coast,25
Deep Water Bay,13
Lok Ma Chau,11
Po Toi Island,7
Lo Wu,5
